feature,bias,sigma,jet_category,category,chi2
PRI_had_pt,tes,+1σ,0j,Signal,
PRI_had_pt,tes,+1σ,0j,Background,
PRI_had_pt,tes,+1σ,1j,Signal,
PRI_had_pt,tes,+1σ,1j,Background,
PRI_had_pt,tes,+1σ,2j+,Signal,
PRI_had_pt,tes,+1σ,2j+,Background,
PRI_jet_leading_pt,tes,+1σ,0j,Signal,
PRI_jet_leading_pt,tes,+1σ,0j,Background,
PRI_jet_leading_pt,tes,+1σ,1j,Signal,
PRI_jet_leading_pt,tes,+1σ,1j,Background,
PRI_jet_leading_pt,tes,+1σ,2j+,Signal,
PRI_jet_leading_pt,tes,+1σ,2j+,Background,
PRI_jet_subleading_pt,tes,+1σ,0j,Signal,0.0
PRI_jet_subleading_pt,tes,+1σ,0j,Background,0.0
PRI_jet_subleading_pt,tes,+1σ,1j,Signal,0.0
PRI_jet_subleading_pt,tes,+1σ,1j,Background,0.0
PRI_jet_subleading_pt,tes,+1σ,2j+,Signal,0.0
PRI_jet_subleading_pt,tes,+1σ,2j+,Background,0.0
PRI_met,tes,+1σ,0j,Signal,
PRI_met,tes,+1σ,0j,Background,
PRI_met,tes,+1σ,1j,Signal,
PRI_met,tes,+1σ,1j,Background,
PRI_met,tes,+1σ,2j+,Signal,
PRI_met,tes,+1σ,2j+,Background,
PRI_had_pt,tes,-1σ,0j,Signal,
PRI_had_pt,tes,-1σ,0j,Background,
PRI_had_pt,tes,-1σ,1j,Signal,
PRI_had_pt,tes,-1σ,1j,Background,
PRI_had_pt,tes,-1σ,2j+,Signal,
PRI_had_pt,tes,-1σ,2j+,Background,
PRI_jet_leading_pt,tes,-1σ,0j,Signal,
PRI_jet_leading_pt,tes,-1σ,0j,Background,
PRI_jet_leading_pt,tes,-1σ,1j,Signal,
PRI_jet_leading_pt,tes,-1σ,1j,Background,
PRI_jet_leading_pt,tes,-1σ,2j+,Signal,
PRI_jet_leading_pt,tes,-1σ,2j+,Background,
PRI_jet_subleading_pt,tes,-1σ,0j,Signal,0.0
PRI_jet_subleading_pt,tes,-1σ,0j,Background,0.0
PRI_jet_subleading_pt,tes,-1σ,1j,Signal,0.0
PRI_jet_subleading_pt,tes,-1σ,1j,Background,0.0
